ticket_id,timestamp,category,severity,description
TCK00060,2026-06-03T14:10:47,phishing,low,Multiple phishing emails referencing 'urgent baggage system update' were sent to Engineering & Maintenance staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00104,2026-06-03T17:41:05,policy_violation,low,"STF1055 shared login credentials with a colleague in Cargo to expedite shift handover, violating access-control policy. Manager notified for corrective action."
TCK00051,2026-06-03T18:56:33,phishing,medium,A staff member in Gate Services reported a suspicious email impersonating IT support requesting VPN credentials. Email header shows spoofed domain. No credentials confirmed compromised yet.
TCK00059,2026-06-03T19:19:43,false_positive,medium,Spike in traffic from staff-ops was traced to a scheduled backup job on Cargo-Manifest-System; closed as benign.
TCK00296,2026-06-03T19:52:02,network_intrusion,low,Unexpected lateral connection observed between vendor VPN segment and Departure-Control-System; source account is STF1129.
TCK00195,2026-06-03T19:58:24,false_positive,low,Alert on VND2033 accessing Gate-Management-System after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00009,2026-06-03T21:00:31,policy_violation,high,"STF1087 shared login credentials with a colleague in Ground Operations to expedite shift handover, violating access-control policy. Manager notified for corrective action."
TCK00212,2026-06-04T08:14:50,access_abuse,high,"SOC noticed STF1177 (staff) logging into HR-Self-Service at 2:00, well outside normal shift hours. Access originated from staff-ops and included a privilege escalation attempt on Airfield-Ops-Portal."
TCK00323,2026-06-04T12:40:50,access_abuse,low,"SOC noticed STF1102 (staff) logging into Gate-Management-System at 23:00, well outside normal shift hours. Access originated from passenger-wifi and included a privilege escalation attempt on Baggage-Handling-System."
TCK00036,2026-06-04T16:02:12,false_positive,low,Spike in traffic from passenger-wifi was traced to a scheduled backup job on Airfield-Ops-Portal; closed as benign.
TCK00124,2026-06-04T16:10:17,vendor_risk,high,Vendor remote-access session from Meridian Aircraft Maintenance showed an elevated-privilege configuration change on Departure-Control-System without a documented change ticket.
TCK00253,2026-06-04T16:17:32,access_abuse,critical,Repeated failed authentication attempts for STF1087 against Airfield-Ops-Portal followed by a successful login from an unusual location. Recommend forcing password reset and reviewing session activity.
TCK00121,2026-06-04T16:28:37,access_abuse,medium,"SOC noticed STF1171 (staff) logging into Retail-POS-Backend at 3:00, well outside normal shift hours. Access originated from vendor-vpn and included a privilege escalation attempt on Departure-Control-System."
TCK00038,2026-06-04T17:25:00,false_positive,medium,Spike in traffic from staff-ops was traced to a scheduled backup job on Baggage-Handling-System; closed as benign.
TCK00024,2026-06-04T17:47:36,policy_violation,low,"STF1019 shared login credentials with a colleague in Cargo to expedite shift handover, violating access-control policy. Manager notified for corrective action."
TCK00275,2026-06-04T20:18:21,phishing,high,A staff member in Engineering & Maintenance reported a suspicious email impersonating IT support requesting VPN credentials. Email header shows spoofed domain. No credentials confirmed compromised yet.
TCK00302,2026-06-05T08:43:49,vendor_risk,low,Meridian Aircraft Maintenance technician accessed Baggage-Handling-System outside the scheduled maintenance window listed in the service agreement. Contract compliance review requested.
TCK00150,2026-06-05T16:20:05,false_positive,low,Alert on STF1113 accessing Airfield-Ops-Portal after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00307,2026-06-05T16:36:04,phishing,critical,Multiple phishing emails referencing 'urgent baggage system update' were sent to Cargo staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00063,2026-06-05T20:55:37,phishing,medium,Multiple phishing emails referencing 'urgent baggage system update' were sent to Cargo staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00097,2026-06-05T21:48:47,false_positive,low,Spike in traffic from passenger-wifi was traced to a scheduled backup job on Departure-Control-System; closed as benign.
TCK00099,2026-06-05T21:57:13,phishing,low,Multiple phishing emails referencing 'urgent baggage system update' were sent to Retail Concessions staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00015,2026-06-06T06:14:17,policy_violation,high,Personal USB device was connected to a workstation in Ground Operations in violation of endpoint policy.
TCK00181,2026-06-06T08:20:04,network_intrusion,high,"Network monitoring flagged cross-segment traffic from passenger-wifi toward the operational network, targeting Baggage-Handling-System on port 80. Volume was significantly above baseline."
TCK00170,2026-06-06T10:28:54,phishing,high,Multiple phishing emails referencing 'urgent baggage system update' were sent to Ground Operations staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00081,2026-06-06T16:30:10,network_intrusion,medium,"Network monitoring flagged cross-segment traffic from vendor-vpn toward the operational network, targeting Airfield-Ops-Portal on port 5432. Volume was significantly above baseline."
TCK00119,2026-06-06T17:51:15,phishing,medium,Multiple phishing emails referencing 'urgent baggage system update' were sent to Cargo staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00153,2026-06-06T18:25:42,access_abuse,high,"SOC noticed STF1054 (staff) logging into Cargo-Manifest-System at 0:00, well outside normal shift hours. Access originated from vendor-vpn and included a privilege escalation attempt on Cargo-Manifest-System."
TCK00303,2026-06-06T20:32:21,false_positive,low,Alert on VND2006 accessing Airfield-Ops-Portal after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00205,2026-06-07T06:15:10,false_positive,low,Spike in traffic from vendor-vpn was traced to a scheduled backup job on Airfield-Ops-Portal; closed as benign.
TCK00229,2026-06-07T09:14:33,data_exposure,low,A misconfigured report on Departure-Control-System briefly exposed operational schedule data to an unauthorised group.
TCK00102,2026-06-07T11:29:14,false_positive,low,Spike in traffic from vendor-vpn was traced to a scheduled backup job on Baggage-Handling-System; closed as benign.
TCK00073,2026-06-07T11:53:05,false_positive,low,Spike in traffic from vendor-vpn was traced to a scheduled backup job on Departure-Control-System; closed as benign.
TCK00206,2026-06-07T13:26:53,malware,medium,Endpoint protection flagged suspicious executable on a workstation in Retail Concessions. File quarantined; investigating lateral spread toward Airfield-Ops-Portal.
TCK00018,2026-06-07T15:01:41,phishing,medium,A staff member in Engineering & Maintenance reported a suspicious email impersonating IT support requesting VPN credentials. Email header shows spoofed domain. No credentials confirmed compromised yet.
TCK00041,2026-06-07T15:42:14,vendor_risk,medium,Horizon Cleaning Services technician accessed Cargo-Manifest-System outside the scheduled maintenance window listed in the service agreement. Contract compliance review requested.
TCK00045,2026-06-07T18:02:05,data_exposure,high,A misconfigured report on Baggage-Handling-System briefly exposed operational schedule data to an unauthorised group.
TCK00245,2026-06-08T06:33:20,vendor_risk,low,SkyLink Ground Services technician accessed Gate-Management-System outside the scheduled maintenance window listed in the service agreement. Contract compliance review requested.
TCK00240,2026-06-08T10:38:08,vendor_risk,critical,Vendor remote-access session from Coastal Catering Co showed an elevated-privilege configuration change on Airfield-Ops-Portal without a documented change ticket.
TCK00139,2026-06-08T13:34:19,phishing,low,A staff member in Cargo reported a suspicious email impersonating IT support requesting VPN credentials. Email header shows spoofed domain. No credentials confirmed compromised yet.
TCK00226,2026-06-08T14:08:11,vendor_risk,high,Vendor remote-access session from Falcon Cargo Handling showed an elevated-privilege configuration change on Gate-Management-System without a documented change ticket.
TCK00065,2026-06-08T16:00:04,false_positive,low,Alert on VND2018 accessing Cargo-Manifest-System after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00269,2026-06-08T16:21:34,access_abuse,high,Repeated failed authentication attempts for STF1040 against Airfield-Ops-Portal followed by a successful login from an unusual location. Recommend forcing password reset and reviewing session activity.
TCK00192,2026-06-08T17:48:52,data_exposure,critical,A misconfigured report on Baggage-Handling-System briefly exposed operational schedule data to an unauthorised group.
TCK00173,2026-06-08T19:08:23,access_abuse,medium,"SOC noticed STF1148 (staff) logging into Cargo-Manifest-System at 0:00, well outside normal shift hours. Access originated from staff-ops and included a privilege escalation attempt on Baggage-Handling-System."
TCK00188,2026-06-08T19:37:41,policy_violation,medium,Personal USB device was connected to a workstation in Retail Concessions in violation of endpoint policy.
TCK00169,2026-06-08T20:25:44,phishing,high,A staff member in Meridian Aircraft Maintenance reported a suspicious email impersonating IT support requesting VPN credentials. Email header shows spoofed domain. No credentials confirmed compromised yet.
TCK00066,2026-06-08T20:50:57,policy_violation,low,"VND2011 shared login credentials with a colleague in Falcon Cargo Handling to expedite shift handover, violating access-control policy. Manager notified for corrective action."
TCK00320,2026-06-08T21:30:35,network_intrusion,medium,"Network monitoring flagged cross-segment traffic from staff-ops toward the operational network, targeting Baggage-Handling-System on port 80. Volume was significantly above baseline."
TCK00088,2026-06-09T06:51:42,access_abuse,medium,Repeated failed authentication attempts for STF1094 against Staff-VPN followed by a successful login from an unusual location. Recommend forcing password reset and reviewing session activity.
TCK00162,2026-06-09T07:59:48,data_exposure,medium,A misconfigured report on Departure-Control-System briefly exposed operational schedule data to an unauthorised group.
TCK00053,2026-06-09T11:54:17,phishing,medium,Multiple phishing emails referencing 'urgent baggage system update' were sent to Retail Concessions staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00291,2026-06-09T11:59:57,access_abuse,medium,Repeated failed authentication attempts for VND2011 against Cargo-Manifest-System followed by a successful login from an unusual location. Recommend forcing password reset and reviewing session activity.
TCK00156,2026-06-09T14:35:00,access_abuse,critical,"SOC noticed STF1040 (staff) logging into Baggage-Handling-System at 3:00, well outside normal shift hours. Access originated from staff-ops and included a privilege escalation attempt on Gate-Management-System."
TCK00106,2026-06-09T14:50:36,network_intrusion,low,"Network monitoring flagged cross-segment traffic from vendor-vpn toward the operational network, targeting Baggage-Handling-System on port 80. Volume was significantly above baseline."
TCK00023,2026-06-09T16:18:38,phishing,low,Multiple phishing emails referencing 'urgent baggage system update' were sent to Security staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00078,2026-06-09T18:56:23,false_positive,low,Alert on STF1022 accessing Cargo-Manifest-System after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00310,2026-06-09T19:19:56,false_positive,low,Alert on STF1164 accessing Gate-Management-System after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00270,2026-06-10T06:21:04,network_intrusion,high,Unexpected lateral connection observed between vendor VPN segment and Baggage-Handling-System; source account is STF1125.
TCK00030,2026-06-10T07:18:08,phishing,medium,Multiple phishing emails referencing 'urgent baggage system update' were sent to Coastal Catering Co staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00238,2026-06-10T07:35:17,false_positive,low,Alert on STF1009 accessing Maintenance-Ticketing after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00020,2026-06-10T08:18:48,malware,medium,Unusual outbound traffic from device DEV0187 to an external IP consistent with command-and-control beaconing. Device isolated pending forensic review.
TCK00086,2026-06-10T10:41:52,malware,medium,Endpoint protection flagged suspicious executable on a workstation in IT. File quarantined; investigating lateral spread toward Airfield-Ops-Portal.
TCK00239,2026-06-10T19:07:44,network_intrusion,medium,"Network monitoring flagged cross-segment traffic from staff-ops toward the operational network, targeting Cargo-Manifest-System on port 80. Volume was significantly above baseline."
TCK00292,2026-06-11T07:17:38,vendor_risk,medium,Vendor remote-access session from Meridian Aircraft Maintenance showed an elevated-privilege configuration change on Departure-Control-System without a documented change ticket.
TCK00316,2026-06-11T08:54:00,phishing,low,A staff member in Gate Services reported a suspicious email impersonating IT support requesting VPN credentials. Email header shows spoofed domain. No credentials confirmed compromised yet.
TCK00167,2026-06-11T13:19:57,network_intrusion,low,"Network monitoring flagged cross-segment traffic from vendor-vpn toward the operational network, targeting Airfield-Ops-Portal on port 80. Volume was significantly above baseline."
TCK00035,2026-06-11T14:09:17,policy_violation,medium,"STF1003 shared login credentials with a colleague in IT to expedite shift handover, violating access-control policy. Manager notified for corrective action."
TCK00012,2026-06-11T15:23:14,phishing,low,Multiple phishing emails referencing 'urgent baggage system update' were sent to Baggage Handling staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00077,2026-06-11T17:50:00,false_positive,low,Alert on STF1167 accessing Airfield-Ops-Portal after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00222,2026-06-11T19:31:41,phishing,medium,Multiple phishing emails referencing 'urgent baggage system update' were sent to Falcon Cargo Handling staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00165,2026-06-11T20:06:13,vendor_risk,medium,Vendor remote-access session from Falcon Cargo Handling showed an elevated-privilege configuration change on Cargo-Manifest-System without a documented change ticket.
TCK00100,2026-06-11T21:20:38,policy_violation,medium,Personal USB device was connected to a workstation in Ground Operations in violation of endpoint policy.
TCK00123,2026-06-12T14:44:10,phishing,medium,A staff member in Engineering & Maintenance reported a suspicious email impersonating IT support requesting VPN credentials. Email header shows spoofed domain. No credentials confirmed compromised yet.
TCK00266,2026-06-12T14:47:35,network_intrusion,medium,"Network monitoring flagged cross-segment traffic from vendor-vpn toward the operational network, targeting Gate-Management-System on port 443. Volume was significantly above baseline."
TCK00084,2026-06-12T15:21:15,false_positive,low,Alert on STF1171 accessing Staff-VPN after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00283,2026-06-12T15:27:19,false_positive,low,Alert on STF1124 accessing Airfield-Ops-Portal after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00028,2026-06-12T16:06:25,network_intrusion,high,"Network monitoring flagged cross-segment traffic from passenger-wifi toward the operational network, targeting Baggage-Handling-System on port 80. Volume was significantly above baseline."
TCK00002,2026-06-12T16:19:45,access_abuse,critical,Repeated failed authentication attempts for STF1142 against HR-Self-Service followed by a successful login from an unusual location. Recommend forcing password reset and reviewing session activity.
TCK00050,2026-06-12T16:43:48,access_abuse,critical,Repeated failed authentication attempts for STF1011 against Retail-POS-Backend followed by a successful login from an unusual location. Recommend forcing password reset and reviewing session activity.
TCK00230,2026-06-12T19:30:49,policy_violation,high,Personal USB device was connected to a workstation in Baggage Handling in violation of endpoint policy.
TCK00311,2026-06-12T20:13:52,access_abuse,low,Repeated failed authentication attempts for STF1056 against Staff-VPN followed by a successful login from an unusual location. Recommend forcing password reset and reviewing session activity.
TCK00267,2026-06-13T06:27:03,false_positive,medium,Spike in traffic from passenger-wifi was traced to a scheduled backup job on Departure-Control-System; closed as benign.
TCK00187,2026-06-13T10:58:29,false_positive,low,Alert on STF1131 accessing HR-Self-Service after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00048,2026-06-13T11:08:54,data_exposure,high,Bulk export of records from Departure-Control-System was performed by STF1080; volume far exceeds routine reporting patterns. Data-loss-prevention review initiated.
TCK00199,2026-06-13T11:21:08,malware,medium,Unusual outbound traffic from device DEV0355 to an external IP consistent with command-and-control beaconing. Device isolated pending forensic review.
TCK00033,2026-06-13T16:21:37,malware,high,Endpoint protection flagged suspicious executable on a workstation in IT. File quarantined; investigating lateral spread toward Baggage-Handling-System.
TCK00082,2026-06-13T21:19:31,false_positive,low,Alert on STF1163 accessing Cargo-Manifest-System after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00115,2026-06-13T21:44:21,vendor_risk,low,SkyLink Ground Services technician accessed Departure-Control-System outside the scheduled maintenance window listed in the service agreement. Contract compliance review requested.
TCK00158,2026-06-14T07:40:41,network_intrusion,medium,"Network monitoring flagged cross-segment traffic from staff-ops toward the operational network, targeting Airfield-Ops-Portal on port 443. Volume was significantly above baseline."
TCK00339,2026-06-14T09:16:19,false_positive,low,Alert on STF1085 accessing Staff-VPN after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00244,2026-06-14T10:28:26,phishing,medium,A staff member in Coastal Catering Co reported a suspicious email impersonating IT support requesting VPN credentials. Email header shows spoofed domain. No credentials confirmed compromised yet.
TCK00234,2026-06-14T11:04:54,vendor_risk,medium,Vendor remote-access session from AeroFuel Solutions showed an elevated-privilege configuration change on Departure-Control-System without a documented change ticket.
TCK00074,2026-06-14T13:11:37,network_intrusion,low,Unexpected lateral connection observed between vendor VPN segment and Gate-Management-System; source account is STF1042.
TCK00334,2026-06-14T13:20:58,access_abuse,medium,"SOC noticed STF1113 (staff) logging into Maintenance-Ticketing at 3:00, well outside normal shift hours. Access originated from staff-ops and included a privilege escalation attempt on Baggage-Handling-System."
TCK00215,2026-06-14T16:02:56,network_intrusion,critical,"Network monitoring flagged cross-segment traffic from passenger-wifi toward the operational network, targeting Airfield-Ops-Portal on port 3389. Volume was significantly above baseline."
TCK00196,2026-06-14T18:14:56,phishing,medium,A staff member in Meridian Aircraft Maintenance reported a suspicious email impersonating IT support requesting VPN credentials. Email header shows spoofed domain. No credentials confirmed compromised yet.
TCK00025,2026-06-14T19:55:30,data_exposure,high,A misconfigured report on Gate-Management-System briefly exposed operational schedule data to an unauthorised group.
TCK00286,2026-06-15T09:44:10,network_intrusion,medium,"Network monitoring flagged cross-segment traffic from vendor-vpn toward the operational network, targeting Gate-Management-System on port 5432. Volume was significantly above baseline."
TCK00294,2026-06-15T11:16:06,network_intrusion,medium,Unexpected lateral connection observed between vendor VPN segment and Gate-Management-System; source account is STF1120.
TCK00089,2026-06-15T12:19:01,data_exposure,medium,Bulk export of records from Departure-Control-System was performed by STF1044; volume far exceeds routine reporting patterns. Data-loss-prevention review initiated.
TCK00130,2026-06-15T18:51:32,network_intrusion,low,"Network monitoring flagged cross-segment traffic from staff-ops toward the operational network, targeting Cargo-Manifest-System on port 8080. Volume was significantly above baseline."
TCK00079,2026-06-15T20:37:21,network_intrusion,medium,Unexpected lateral connection observed between vendor VPN segment and Airfield-Ops-Portal; source account is STF1065.
TCK00037,2026-06-16T08:02:14,data_exposure,low,Bulk export of records from Baggage-Handling-System was performed by STF1083; volume far exceeds routine reporting patterns. Data-loss-prevention review initiated.
TCK00257,2026-06-16T09:03:43,access_abuse,critical,"SOC noticed STF1146 (staff) logging into Gate-Management-System at 3:00, well outside normal shift hours. Access originated from passenger-wifi and included a privilege escalation attempt on Airfield-Ops-Portal."
TCK00029,2026-06-16T09:03:43,malware,low,Unusual outbound traffic from device DEV0108 to an external IP consistent with command-and-control beaconing. Device isolated pending forensic review.
TCK00250,2026-06-16T13:19:06,policy_violation,low,"STF1055 shared login credentials with a colleague in Cargo to expedite shift handover, violating access-control policy. Manager notified for corrective action."
TCK00204,2026-06-17T07:30:48,false_positive,low,Spike in traffic from passenger-wifi was traced to a scheduled backup job on Airfield-Ops-Portal; closed as benign.
TCK00221,2026-06-17T07:50:25,data_exposure,low,A misconfigured report on Departure-Control-System briefly exposed operational schedule data to an unauthorised group.
TCK00143,2026-06-17T07:53:53,malware,high,Endpoint protection flagged suspicious executable on a workstation in Ground Operations. File quarantined; investigating lateral spread toward Cargo-Manifest-System.
TCK00186,2026-06-17T09:29:16,network_intrusion,high,"Network monitoring flagged cross-segment traffic from vendor-vpn toward the operational network, targeting Departure-Control-System on port 22. Volume was significantly above baseline."
TCK00200,2026-06-17T12:01:19,phishing,high,Multiple phishing emails referencing 'urgent baggage system update' were sent to IT staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00280,2026-06-17T18:22:02,network_intrusion,low,"Network monitoring flagged cross-segment traffic from vendor-vpn toward the operational network, targeting Cargo-Manifest-System on port 5432. Volume was significantly above baseline."
TCK00016,2026-06-17T19:09:59,data_exposure,high,Bulk export of records from Airfield-Ops-Portal was performed by STF1030; volume far exceeds routine reporting patterns. Data-loss-prevention review initiated.
TCK00032,2026-06-17T19:41:03,false_positive,low,Spike in traffic from vendor-vpn was traced to a scheduled backup job on Airfield-Ops-Portal; closed as benign.
TCK00155,2026-06-18T11:36:59,vendor_risk,high,Vendor remote-access session from SkyLink Ground Services showed an elevated-privilege configuration change on Gate-Management-System without a documented change ticket.
TCK00268,2026-06-18T11:43:29,phishing,low,Multiple phishing emails referencing 'urgent baggage system update' were sent to Cargo staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00096,2026-06-18T14:42:03,policy_violation,high,Personal USB device was connected to a workstation in Engineering & Maintenance in violation of endpoint policy.
TCK00090,2026-06-18T14:58:36,network_intrusion,medium,Unexpected lateral connection observed between vendor VPN segment and Baggage-Handling-System; source account is STF1059.
TCK00216,2026-06-18T16:23:44,false_positive,low,Alert on STF1042 accessing Retail-POS-Backend after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00087,2026-06-18T18:43:20,malware,high,Unusual outbound traffic from device DEV0385 to an external IP consistent with command-and-control beaconing. Device isolated pending forensic review.
TCK00325,2026-06-18T19:31:16,phishing,low,Multiple phishing emails referencing 'urgent baggage system update' were sent to Baggage Handling staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00093,2026-06-19T06:31:59,policy_violation,low,"STF1124 shared login credentials with a colleague in Gate Services to expedite shift handover, violating access-control policy. Manager notified for corrective action."
TCK00171,2026-06-19T08:15:01,phishing,medium,A staff member in Gate Services reported a suspicious email impersonating IT support requesting VPN credentials. Email header shows spoofed domain. No credentials confirmed compromised yet.
TCK00319,2026-06-19T10:33:55,policy_violation,medium,Personal USB device was connected to a workstation in Engineering & Maintenance in violation of endpoint policy.
TCK00072,2026-06-19T14:57:43,phishing,high,A staff member in Gate Services reported a suspicious email impersonating IT support requesting VPN credentials. Email header shows spoofed domain. No credentials confirmed compromised yet.
TCK00305,2026-06-19T15:41:48,vendor_risk,critical,Falcon Cargo Handling technician accessed Departure-Control-System outside the scheduled maintenance window listed in the service agreement. Contract compliance review requested.
TCK00242,2026-06-19T18:20:33,phishing,high,Multiple phishing emails referencing 'urgent baggage system update' were sent to Retail Concessions staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00317,2026-06-19T18:31:11,false_positive,low,Spike in traffic from passenger-wifi was traced to a scheduled backup job on Baggage-Handling-System; closed as benign.
TCK00108,2026-06-19T21:46:45,policy_violation,low,"STF1061 shared login credentials with a colleague in Ground Operations to expedite shift handover, violating access-control policy. Manager notified for corrective action."
TCK00071,2026-06-20T06:42:54,vendor_risk,low,Vendor remote-access session from Falcon Cargo Handling showed an elevated-privilege configuration change on Airfield-Ops-Portal without a documented change ticket.
TCK00114,2026-06-20T11:42:04,access_abuse,low,"SOC noticed STF1062 (staff) logging into Gate-Management-System at 0:00, well outside normal shift hours. Access originated from staff-ops and included a privilege escalation attempt on Departure-Control-System."
TCK00006,2026-06-20T12:51:34,policy_violation,medium,"STF1175 shared login credentials with a colleague in Ground Operations to expedite shift handover, violating access-control policy. Manager notified for corrective action."
TCK00219,2026-06-20T14:10:40,false_positive,low,Spike in traffic from staff-ops was traced to a scheduled backup job on Departure-Control-System; closed as benign.
TCK00231,2026-06-20T15:29:06,false_positive,low,Alert on STF1092 accessing Airfield-Ops-Portal after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00201,2026-06-20T15:42:35,vendor_risk,high,Meridian Aircraft Maintenance technician accessed Baggage-Handling-System outside the scheduled maintenance window listed in the service agreement. Contract compliance review requested.
TCK00329,2026-06-20T18:19:20,policy_violation,low,"STF1113 shared login credentials with a colleague in IT to expedite shift handover, violating access-control policy. Manager notified for corrective action."
TCK00315,2026-06-20T19:11:30,false_positive,low,Alert on STF1058 accessing HR-Self-Service after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00105,2026-06-21T06:01:45,phishing,medium,A staff member in Ground Operations reported a suspicious email impersonating IT support requesting VPN credentials. Email header shows spoofed domain. No credentials confirmed compromised yet.
TCK00336,2026-06-21T10:46:35,false_positive,medium,Alert on STF1045 accessing Cargo-Manifest-System after hours was reviewed; confirmed as an authorised maintenance window logged in advance. No further action required.
TCK00198,2026-06-21T13:36:14,access_abuse,medium,Repeated failed authentication attempts for STF1000 against Departure-Control-System followed by a successful login from an unusual location. Recommend forcing password reset and reviewing session activity.
TCK00008,2026-06-21T15:46:58,phishing,low,Multiple phishing emails referencing 'urgent baggage system update' were sent to Falcon Cargo Handling staff. One recipient clicked the link; endpoint isolated as a precaution.
TCK00042,2026-06-22T06:16:52,phishing,medium,A staff member in Ground Operations reported a suspicious email impersonating IT support requesting VPN credentials. Email header shows spoofed domain. No credentials confirmed compromised yet.
